year,season,average_temperature,highest_temperature,lowest_temperature,precipitation_(inches),temperature_difference,snowfall_(inches)
1966,Winter,28.482269262430243,79.69912082817801,-10.0,33.43,89.69912082817801,162.1
1967,Fall,42.43880440249064,100.0,5.0,15.97,95.0,9.0
1967,Spring,39.04488175287286,93.0,12.159911422893444,25.62,80.84008857710656,20.4
1967,Summer,59.5921578149595,107.0,13.739843934176506,13.200344640424868,93.2601560658235,0.0
1967,Winter,30.522469902996697,81.43701009037488,-8.0,25.714742735455317,89.43701009037488,108.0
1968,Fall,41.48682426533274,96.0,12.0,33.06787680380884,84.0,11.5
1968,Spring,41.46933190904547,97.0,13.0,11.210432980032623,84.0,4.0
1968,Summer,54.92915777031291,110.0,16.356607155989074,19.974984140670816,93.64339284401092,0.0
1968,Winter,24.390162968744974,75.33764789321597,-48.0,54.98,123.33764789321597,291.6
1969,Fall,39.42590474409236,97.0,6.0,10.84,91.0,5.5
1969,Spring,41.39566982676976,95.0,10.0,22.08067415826248,85.0,2.5
1969,Summer,56.49037766052841,101.0,31.0,8.562505416663251,70.0,0.0
1969,Winter,21.382339728846947,75.32903195280785,-31.0,54.19480983297539,106.32903195280785,401.9
1970,Fall,38.915823107274285,92.0,-4.0,26.371783121944873,96.0,45.1
1970,Spring,40.51939800869627,94.0,7.0,16.141301728722418,87.0,6.4
1970,Summer,56.1605540555715,106.0,34.0,5.827138690452808,72.0,0.0
1970,Winter,25.8491475236006,76.52861181633725,-14.0,60.5,90.52861181633725,338.1
1971,Fall,37.70633607652098,90.0,7.0,26.21,83.0,43.3
1971,Spring,39.99238029780376,92.0,-1.0,27.107876803808843,93.0,53.2
1971,Summer,52.971107948580006,110.0,25.811499183206493,13.358434808670506,84.1885008167935,0.0
1971,Winter,25.837461674450797,76.7337088184906,-14.0,42.943416983553846,90.7337088184906,354.8
1972,Fall,38.69835527566635,96.0,8.654436163484156,17.69,87.34556383651585,16.7
1972,Spring,39.38454034647363,97.0,5.0,31.96,92.0,47.1
1972,Summer,51.75819293110691,110.0,25.811499183206493,22.105753607617682,84.1885008167935,0.0
1972,Winter,22.6109299019416,76.46580282393136,-21.0,37.207876803808844,97.46580282393136,270.9
1973,Fall,40.14438384548932,99.0,1.0,58.76,98.0,113.80000000000001
1973,Spring,39.65348998284193,98.0,19.0,8.645753607617683,79.0,16.0
1973,Summer,54.489051475953936,105.0,25.811499183206493,5.22410362358438,79.1885008167935,0.0
1973,Winter,26.48958319402643,78.38600053248678,-18.0,51.37,96.38600053248678,252.7
1974,Fall,41.57138319437425,98.0,19.0,15.917995505584294,79.0,30.7
1974,Spring,36.94384184580507,85.0,-2.0,23.681507215235367,87.0,6.6
1974,Summer,51.77004299990987,106.0,25.811499183206493,11.111598603680296,80.1885008167935,0.0
1974,Winter,27.303737676299075,73.12200365295243,-25.0,46.593630411426524,98.12200365295243,154.7
1975,Fall,39.016458599707896,95.0,-6.0,25.836832780429624,101.0,40.0
1975,Spring,37.0189065375528,92.0,7.0,25.053630411426525,85.0,17.3
1975,Summer,51.26203125749642,108.0,25.811499183206493,23.586548509194607,82.1885008167935,0.0
1975,Winter,25.776982510010885,74.74925223934868,-18.0,51.39293359126667,92.74925223934868,283.9
1976,Fall,40.697139347128875,99.0,1.0,5.253783922061831,98.0,3.4
1976,Spring,38.30389649730974,90.0,-6.0,14.64,96.0,11.6
1976,Summer,52.079019862216605,101.0,28.0,18.88,73.0,0.0
1976,Winter,27.609312779321975,79.31995756003631,-7.0,22.3,86.31995756003631,171.1
1977,Fall,38.495645586216455,91.0,-3.0,28.03,94.0,49.7
1977,Spring,40.686546674908755,94.0,17.0,16.554116132055047,77.0,15.0
1977,Summer,55.899501634559776,110.0,32.0,17.91098803126502,78.0,0.0
1977,Winter,25.74767025234345,79.347226672667,-21.0,37.15,100.347226672667,143.7
1978,Fall,38.961151235950915,90.0,5.0,20.40147822715253,85.0,45.7
1978,Spring,39.532156977363734,89.0,6.0,25.88,83.0,16.3
1978,Summer,54.45383958936736,107.0,27.4549681499999,22.045184996114365,79.5450318500001,0.0
1978,Winter,24.00461833862871,77.01417804118758,-30.0,40.79,107.01417804118758,125.3
1979,Fall,40.193512610630634,94.0,-5.0,35.35,99.0,32.3
1979,Spring,41.85257570298411,91.0,5.0,16.533630411426525,86.0,8.9
1979,Summer,56.03078342256869,109.0,25.811499183206493,14.313630411426525,83.1885008167935,0.0
1979,Winter,21.76333855392546,74.36595358763475,-25.0,36.04,99.36595358763475,234.9
1980,Fall,39.86257825613115,95.0,9.0,29.247876803808843,86.0,14.5
1980,Spring,40.38203895546246,89.0,10.0,31.76,79.0,15.3
1980,Summer,52.09587827295715,103.0,30.0,13.256863607150134,73.0,0.0
1980,Winter,24.71667646573567,71.89820221000959,-28.0,65.76363041142653,99.89820221000959,257.8
1981,Fall,40.29344433660196,100.0,12.0,31.34,88.0,1.7000000000000002
1981,Spring,40.24972637805846,90.0,13.885432639481692,24.04,76.11456736051831,0.5
1981,Summer,52.62023958193478,109.0,31.0,14.312207803549992,78.0,0.0
1981,Winter,28.222143485348816,75.4246953195973,-9.0,49.019999999999996,84.4246953195973,199.7
1982,Fall,37.61120295761071,97.0,-6.0,37.46,103.0,31.5
1982,Spring,37.63332530198915,91.0,8.0,22.42,83.0,7.4
1982,Summer,52.50393003323921,105.0,25.811499183206493,15.437876803808843,79.1885008167935,0.0
1982,Winter,24.221521619674608,72.52644193685762,-24.0,44.6,96.52644193685762,224.8
1983,Fall,39.052836308755985,90.0,4.0,47.96,86.0,28.0
1983,Spring,40.46292473927288,104.0,5.49457114091804,35.04,98.50542885908196,0.0
1983,Summer,48.86797242436316,102.0,25.811499183206493,23.017876803808843,76.1885008167935,0.0
1983,Winter,24.950947000409,68.52668613825145,-30.0,62.14,98.52668613825145,245.0
1984,Fall,35.34683311393933,93.0,3.0,38.46871877626864,90.0,51.8
1984,Spring,37.899245718612164,93.0,15.0,37.24787680380884,78.0,0.0
1984,Summer,54.98436213486276,107.0,30.0,20.016502167988154,77.0,0.0
1984,Winter,23.637244723322624,77.92982706977818,-17.0,22.69,94.92982706977818,128.2
1985,Fall,32.63094701751828,87.0,-16.0,28.615753607617684,103.0,82.1
1985,Spring,39.07765675557148,95.0,7.0,13.422210678338343,88.0,17.099999999999998
1985,Summer,51.98074000817254,106.2305312321326,25.811499183206493,9.06616827737849,80.41903204892611,0.0
