Year,Month,Highest Temperature
1953,Mar,64.63478260869564
1953,May,81.97826086956522
1953,Nov,60.63181818181818
1953,Oct,74.48260869565217
1953,Sep,88.11304347826086
1954,Apr,69.4304347826087
1954,Aug,86.36086956521739
1954,Dec,49.29545454545455
1954,Feb,54.85909090909092
1954,Jan,48.74347826086956
1954,Jul,86.25909090909092
1954,Jun,80.7
1954,Mar,59.86363636363637
1954,May,82.89090909090909
1954,Nov,61.34761904761905
1954,Oct,69.44090909090909
1954,Sep,80.35909090909091
1955,Apr,66.46363636363637
1955,Aug,89.16363636363636
1955,Dec,49.36
1955,Feb,49.345454545454544
1955,Jan,45.845454545454544
1955,Jul,88.07142857142857
1955,Jun,92.14999999999999
1955,Mar,55.63636363636363
1955,May,73.31904761904762
1955,Nov,57.64090909090908
1955,Oct,69.20476190476191
1955,Sep,90.16190476190476
1956,Apr,76.55652173913043
1956,Aug,92.30869565217391
1956,Dec,52.75652173913044
1956,Feb,46.647619047619045
1956,Jan,48.92272727272727
1956,Jul,96.4304347826087
1956,Jun,80.58695652173913
1956,Mar,60.21363636363637
1956,May,87.26363636363637
1956,Nov,55.00869565217391
1956,Oct,73.30909090909091
1956,Sep,84.23181818181818
1957,Apr,80.10434782608696
1957,Aug,84.57272727272726
1957,Dec,53.39047619047619
1957,Feb,55.373913043478254
1957,Jan,42.356521739130436
1957,Jul,86.0409090909091
1957,Jun,83.06818181818181
1957,Mar,59.77272727272727
1957,May,84.03636363636363
1957,Nov,56.94782608695652
1957,Oct,72.35909090909091
1957,Sep,87.11818181818181
1958,Apr,71.45652173913044
1958,Aug,94.14761904761905
1958,Dec,54.63809523809524
1958,Feb,59.56521739130435
1958,Jan,51.00454545454545
1958,Jul,96.62608695652175
1958,Jun,92.9090909090909
1958,Mar,59.643478260869564
1958,May,88.18181818181819
1958,Nov,59.22608695652174
1958,Oct,78.08636363636364
1958,Sep,89.71363636363637
1959,Apr,71.57826086956521
1959,Aug,90.5
1959,Dec,52.68260869565218
1959,Feb,52.127272727272725
1959,Jan,51.61739130434783
1959,Jul,95.18695652173913
1959,Jun,85.22173913043478
1959,Mar,59.29545454545455
1959,May,81.25
1959,Nov,60.91363636363636
1959,Oct,69.55
1959,Sep,82.18181818181819
1960,Apr,72.3047619047619
1960,Aug,94.66363636363636
1960,Dec,48.277272727272724
1960,Feb,50.9
1960,Jan,50.660869565217396
1960,Jul,97.08636363636364
1960,Jun,82.8391304347826
1960,Mar,68.48695652173913
1960,May,77.7
1960,Nov,57.5304347826087
1960,Oct,75.72380952380952
1960,Sep,84.69565217391305
1961,Apr,66.60909090909091
1961,Aug,98.36521739130436
1961,Dec,49.233333333333334
1961,Feb,55.373913043478254
1961,Jan,54.130434782608695
