,location,county_zone,state,date,time,timezone,type,deaths,injuries,property_damage_dollars,crop_damage_dollars
1037,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1038,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1039,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1040,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1041,WATERVILLE PLATEAU (ZONE),WATERVILLE PLATEAU (ZONE),WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1042,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1043,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1044,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2015-01-17,11:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1045,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1046,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1047,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1048,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1049,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
1050,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1051,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2015-01-17,11:00:00 AM,PST-8,Winter Weather,0,0,0,0
