Year,Month,Average Temperature
1954,Jul,52.928999999999995
1954,Jun,48.122
1954,Mar,33.35448275862069
1954,May,46.06
1954,Nov,40.07827586206896
1954,Oct,40.801034482758624
1954,Sep,49.300333333333334
1955,Apr,38.16724137931034
1955,Aug,55.20413793103449
1955,Dec,28.873214285714287
1955,Feb,31.222857142857144
1955,Jan,29.183214285714286
1955,Jul,54.720000000000006
1955,Jun,52.50896551724138
1955,Mar,31.55035714285714
1955,May,44.239285714285714
1955,Nov,30.288275862068964
1955,Oct,43.58862068965517
1955,Sep,50.84206896551724
1956,Apr,41.28964285714285
1956,Aug,54.76466666666667
1956,Dec,30.521333333333335
1956,Feb,26.095
1956,Jan,30.003103448275862
1956,Jul,56.583
1956,Jun,49.217
1956,Mar,34.706896551724135
1956,May,48.209310344827585
1956,Nov,32.11466666666667
1956,Oct,42.49758620689656
1956,Sep,49.77833333333333
1957,Apr,41.943999999999996
1957,Aug,53.33838709677419
1957,Dec,33.2525
1957,Feb,29.189666666666668
1957,Jan,20.877857142857145
1957,Jul,54.248064516129034
1957,Jun,52.39064516129032
1957,Mar,36.68259259259259
1957,May,49.862258064516126
1957,Nov,33.74310344827586
1957,Oct,41.540333333333336
1957,Sep,52.86451612903225
1958,Apr,40.893
1958,Aug,58.29533333333333
1958,Dec,32.7096551724138
1958,Feb,37.806666666666665
1958,Jan,32.421379310344825
1958,Jul,61.55034482758621
1958,Jun,55.601612903225806
1958,Mar,35.46758620689655
1958,May,51.17333333333333
1958,Nov,34.58
1958,Oct,44.006129032258066
1958,Sep,49.66241379310345
1959,Apr,41.6583870967742
1959,Aug,53.41967741935484
1959,Dec,30.06366666666667
1959,Feb,31.014193548387098
1959,Jan,30.509
1959,Jul,56.924516129032256
1959,Jun,51.8684375
1959,Mar,36.465806451612906
1959,May,44.683
1959,Nov,33.049354838709675
1959,Oct,44.1841935483871
1959,Sep,50.49483870967742
1960,Apr,42.76548387096774
1960,Aug,54.1434375
1960,Dec,29.667666666666666
1960,Feb,32.99516129032258
1960,Jan,25.5825
1960,Jul,60.585
1960,Jun,51.4558064516129
1960,Mar,35.7728125
1960,May,45.175625
1960,Nov,35.093125
1960,Oct,44.025
1960,Sep,50.1221875
1961,Apr,40.552258064516124
1961,Aug,59.309687499999995
1961,Dec,29.616666666666667
1961,Feb,36.15193548387097
1961,Jan,31.898125
1961,Jul,60.007
1961,Jun,54.687
1961,Mar,37.47375
1961,May,46.758125
1961,Nov,31.745
1961,Oct,41.11612903225806
1961,Sep,48.26
1962,Apr,43.171875
1962,Aug,53.964333333333336
1962,Dec,32.892580645161296
1962,Feb,32.76967741935484
1962,Jan,28.369666666666667
1962,Jul,58.89
1962,Jun,50.893125
1962,Mar,34.0953125
1962,May,44.22032258064516
1962,Nov,37.6140625
1962,Oct,43.7371875
1962,Sep,51.21774193548387
1963,Apr,41.78774193548387
1963,Aug,57.60533333333333
1963,Dec,29.84733333333333
1963,Feb,36.146875
1963,Jan,24.9103125
1963,Jul,54.02903225806452
1963,Jun,51.20322580645161
1963,Mar,38.114838709677414
1963,May,48.562
1963,Nov,36.36387096774193
1963,Oct,44.80774193548387
1963,Sep,54.391875
1964,Apr,38.68966666666667
1964,Aug,53.08806451612903
1964,Dec,26.82967741935484
1964,Feb,31.380666666666666
1964,Jan,31.800322580645158
1964,Jul,54.75310344827586
1964,Jun,50.884375
1964,Mar,34.641
1964,May,44.57290322580645
1964,Nov,33.23870967741936
1964,Oct,43.270624999999995
1964,Sep,48.708125
1965,Apr,42.288387096774194
1965,Aug,56.325161290322576
1965,Dec,30.404516129032256
1965,Feb,32.93774193548387
1965,Jan,29.812666666666665
1965,Jul,56.9546875
1965,Jun,51.185483870967744
1965,Mar,34.98516129032258
1965,May,44.715161290322584
1965,Nov,37.958387096774196
1965,Oct,45.605000000000004
1965,Sep,47.947096774193554
1966,Apr,41.50709677419355
1966,Aug,55.05774193548387
1966,Dec,33.9546875
1966,Feb,32.7253125
1966,Jan,30.103437500000002
1966,Jul,54.22
1966,Jun,50.14354838709678
1966,Mar,36.4465625
1966,May,47.00451612903226
1966,Nov,36.815625
1966,Oct,42.6753125
1966,Sep,52.544838709677414
