Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season,County
2006-2007,0,0,0,T,8.4,5.3,11.9,9.6,0.1,T,0.3,0,35.6,Spokane
2007-2008,0,0,0,T,2.9,20.1,40,9,15.8,4.8,0,T,92.6,Spokane
2008-2009,0,0,0,0,1.5,61.5,17.6,3.7,9.5,3.9,0,T,97.7,Spokane
2009-2010,0,0,0,T,4.7,6.7,1.4,0.9,T,0.7,T,0,14.4,Spokane
2010-2011,0,0,0,0,25.9,17.4,7,14.3,3.3,1.1,0,0,69,Spokane
2011-2012,0,0,0,0,6.6,2.4,11.8,9.4,5.5,1.1,0,T,36.8,Spokane
2012-2013,0,0,0,T,5.9,18.1,14.2,4.4,0.9,T,0,0,43.5,Spokane
2013-2014,0,0,0,T,3.1,3.7,7.1,17.9,5.8,T,0,0,37.6,Spokane
2014-2015,0,0,0,0,0.5,3.7,10.4,1.1,0.9,1,0,0,17.6,Spokane
2015-2016,0,0,0,0,1.5,24.1,6.7,1.3,0.6,T,0,T,34.2,Spokane
2016-2017,0,0,0,0,3.3,19,13.5,19.8,5.4,0.5,T,0,61.5,Spokane
2017-2018,0,0,T,T,7.2,17.1,8.1,12,4.9,T,0,0,49.3,Spokane
2018-2019,0,0,0,0,2.6,12.1,5.2,29.9,3.8,0,0,0,53.6,Spokane
2019-2020,0,0,3.3,3.6,0.6,10.5,19.1,3.8,6.4,0.6,0,0,47.9,Spokane
2020-2021,0,0,0,7.5,9.5,17.8,3.5,11.8,T,T,0,0,50.1,Spokane
2021-2022,0,0,0,T,2,17.7,11,6,T,2.1,T,0,38.8,Spokane
